"ALLOC_NETWORK";"TRANS_INVENTORY";"ALLOC_NETWORK";"EC_REVN";"N";"";"";"1:N";"COLUMN";"ALLOC_NETWORK_ID";
"ALLOC_NODE";"ALLOC_NETWORK_LIST";"ELEMENT";"EC_PROD";"Y";"N";"";"1:N";"COLUMN";"ELEMENT_ID";
"ALLOC_NODE";"CONTRACT_ACCOUNT";"SOURCE_NODE";"EC_SALE";"N";"";"";"1:N";"COLUMN";"SOURCE_NODE_ID";
"ALLOC_NODE";"DELIVERY_STREAM";"FROM_NODE";"EC_TRAN";"N";"N";"";"1:N";"FUNCTION";"o.EXIT_DELPNT_ID";
"ALLOC_NODE";"DELIVERY_STREAM";"TO_NODE";"EC_TRAN";"N";"N";"";"1:N";"FUNCTION";"o.ENTRY_DELPNT_ID";
"ALLOC_NODE";"EQPM";"ALLOC_NETW_NODE";"EC_PROD";"N";"N";"";"1:1";"ATTRIBUTE";"ALLOC_NETW_NODE_ID";
"ALLOC_NODE";"PIPELINE_SEGMENT";"FROM_NODE";"EC_TRAN";"N";"N";"";"1:N";"FUNCTION";"oa.FROM_DELPNT_ID";
"ALLOC_NODE";"PIPELINE_SEGMENT";"TO_NODE";"EC_TRAN";"N";"N";"";"1:N";"FUNCTION";"oa.TO_DELPNT_ID";
"ALLOC_NODE";"STREAM";"FROM_NODE";"EC_PROD";"N";"N";"";"1:1";"ATTRIBUTE";"FROM_NODE_ID";
"ALLOC_NODE";"STREAM";"TO_NODE";"EC_PROD";"N";"N";"";"1:1";"ATTRIBUTE";"TO_NODE_ID";
"ALLOC_PRICE_OBJECT";"PRICE_GROUP_LIST";"ELEMENT";"EC_SALE";"Y";"N";"";"1:N";"COLUMN";"ELEMENT_ID";
"AREA";"FCTY_CLASS_1";"OP_AREA";"EC_PROD";"N";"N";"operational";"1:N";"ATTRIBUTE";"OP_AREA_ID";
